SRR8926116_2.fastq	13-6929524_2.fastq
SRR8926117_2.fastq	13-6929525_2.fastq
SRR8926118_2.fastq	13-6929532_2.fastq
SRR8926119_2.fastq	13-6929534_2.fastq
SRR8926120_2.fastq	13-6929530_2.fastq
SRR8926122_2.fastq	13-6929535_2.fastq
SRR8926123_2.fastq	13-6929536_2.fastq
SRR8926124_2.fastq	13-6929587_2.fastq
SRR8926125_2.fastq	13-6929588_2.fastq
SRR8926126_2.fastq	13-6929590_2.fastq
SRR8926127_2.fastq	13-6929598_2.fastq
SRR8926128_2.fastq	13-6929575_2.fastq
SRR8926129_2.fastq	13-6929581_2.fastq
SRR8926130_2.fastq	13-6929584_2.fastq
SRR8926131_2.fastq	13-6929585_2.fastq
SRR8926132_2.fastq	13-6929752_2.fastq
SRR8926133_2.fastq	13-6929742_2.fastq
SRR8926134_2.fastq	13-6929618_2.fastq
SRR8926135_2.fastq	13-6929628_2.fastq
SRR8926136_2.fastq	13-6929796_2.fastq
SRR8926137_2.fastq	13-6929802_2.fastq
SRR8926138_2.fastq	13-6929781_2.fastq
SRR8926139_2.fastq	13-6929782_2.fastq
SRR8926140_2.fastq	13-6929759_2.fastq
SRR8926141_2.fastq	13-6929775_2.fastq
SRR8926142_2.fastq	13-6929794_2.fastq
SRR8926143_2.fastq	13-6929743_2.fastq
SRR8926144_2.fastq	13-6929783_2.fastq
SRR8926145_2.fastq	13-6929791_2.fastq
SRR8926146_2.fastq	13-6929947_2.fastq
SRR8926147_2.fastq	13-6929948_2.fastq
SRR8926148_2.fastq	13-6929949_2.fastq
SRR8926149_2.fastq	13-6929952_2.fastq
SRR8926150_2.fastq	13-6929943_2.fastq
SRR8926151_2.fastq	13-6929944_2.fastq
SRR8926152_2.fastq	13-6929945_2.fastq
SRR8926153_2.fastq	13-6929946_2.fastq
SRR8926154_2.fastq	13-6929953_2.fastq
SRR8926155_2.fastq	13-6929955_2.fastq
SRR8926156_2.fastq	13-6929691_2.fastq
SRR8926157_2.fastq	13-6929686_2.fastq
SRR8926158_2.fastq	13-6929681_2.fastq
SRR8926159_2.fastq	13-6929680_2.fastq
SRR8926160_2.fastq	13-6929678_2.fastq
SRR8926161_2.fastq	13-6929677_2.fastq
SRR8926162_2.fastq	13-6929676_2.fastq
SRR8926163_2.fastq	13-6929664_2.fastq
SRR8926164_2.fastq	13-6929694_2.fastq
SRR8926165_2.fastq	13-6929692_2.fastq
SRR8926166_2.fastq	13-6929935_2.fastq
SRR8926167_2.fastq	13-6929934_2.fastq
SRR8926168_2.fastq	13-6929932_2.fastq
SRR8926169_2.fastq	13-6929931_2.fastq
SRR8926170_2.fastq	13-6929940_2.fastq
SRR8926171_2.fastq	13-6929938_2.fastq
SRR8926172_2.fastq	13-6929937_2.fastq
SRR8926173_2.fastq	13-6929936_2.fastq
SRR8926174_2.fastq	13-6929942_2.fastq
SRR8926175_2.fastq	13-6929941_2.fastq
SRR8926176_2.fastq	13-6929707_2.fastq
SRR8926177_2.fastq	13-6929738_2.fastq
SRR8926178_2.fastq	13-6929739_2.fastq
SRR8926179_2.fastq	13-6929539_2.fastq
SRR8926180_2.fastq	13-6929541_2.fastq
SRR8926181_2.fastq	13-6929537_2.fastq
SRR8926182_2.fastq	13-6929538_2.fastq
SRR8926183_2.fastq	13-6929545_2.fastq
SRR8926184_2.fastq	13-6929547_2.fastq
SRR8926185_2.fastq	13-6929542_2.fastq
SRR8926186_2.fastq	13-6929543_2.fastq
SRR8926187_2.fastq	13-6929548_2.fastq
SRR8926188_2.fastq	13-6929551_2.fastq
SRR8926189_2.fastq	13-6929696_2.fastq
SRR8926190_2.fastq	13-6929702_2.fastq
SRR8926191_2.fastq	13-6929703_2.fastq
SRR8926192_2.fastq	13-6929704_2.fastq
SRR8926193_2.fastq	13-6929625_2.fastq
SRR8926194_2.fastq	13-6929736_2.fastq
SRR8926195_2.fastq	13-6929929_2.fastq
SRR8926196_2.fastq	13-6929930_2.fastq
SRR8926197_2.fastq	13-6929927_2.fastq
SRR8926198_2.fastq	13-6929928_2.fastq
SRR8926199_2.fastq	13-6929925_2.fastq
SRR8926200_2.fastq	13-6929926_2.fastq
SRR8926201_2.fastq	13-6929923_2.fastq
SRR8926202_2.fastq	13-6929924_2.fastq
SRR8926203_2.fastq	13-6929921_2.fastq
SRR8926204_2.fastq	13-6929922_2.fastq
SRR8926205_2.fastq	13-6929740_2.fastq
SRR8926206_2.fastq	13-6929667_2.fastq
SRR8926207_2.fastq	13-6929920_2.fastq
SRR8926208_2.fastq	13-6929918_2.fastq
SRR8926209_2.fastq	13-6929914_2.fastq
SRR8926210_2.fastq	13-6929913_2.fastq
SRR8926211_2.fastq	13-6929917_2.fastq
SRR8926212_2.fastq	13-6929915_2.fastq
SRR8926213_2.fastq	13-6929910_2.fastq
SRR8926214_2.fastq	13-6929909_2.fastq
SRR8926215_2.fastq	13-6929912_2.fastq
SRR8926216_2.fastq	13-6929911_2.fastq
SRR8926218_2.fastq	13-6929608_2.fastq
SRR8926219_2.fastq	13-6929751_2.fastq
SRR8926220_2.fastq	13-6929611_2.fastq
SRR8926221_2.fastq	13-6929627_2.fastq
SRR8926222_2.fastq	13-6929629_2.fastq
SRR8926223_2.fastq	13-6929632_2.fastq
SRR8926224_2.fastq	13-6929641_2.fastq
SRR8926225_2.fastq	13-6929662_2.fastq
SRR8926226_2.fastq	13-6929610_2.fastq
SRR8926227_2.fastq	13-6929669_2.fastq
SRR8926228_2.fastq	13-6929671_2.fastq
SRR8926229_2.fastq	13-6929673_2.fastq
SRR8926230_2.fastq	13-6929613_2.fastq
SRR8926231_2.fastq	13-6929612_2.fastq
SRR8926232_2.fastq	13-6929616_2.fastq
SRR8926233_2.fastq	13-6929614_2.fastq
SRR8926234_2.fastq	13-6929907_2.fastq
SRR8926235_2.fastq	13-6929908_2.fastq
SRR8926236_2.fastq	13-6929897_2.fastq
SRR8926237_2.fastq	13-6929899_2.fastq
SRR8926238_2.fastq	13-6929900_2.fastq
SRR8926239_2.fastq	13-6929901_2.fastq
SRR8926240_2.fastq	13-6929902_2.fastq
SRR8926241_2.fastq	13-6929904_2.fastq
SRR8926242_2.fastq	13-6929905_2.fastq
SRR8926243_2.fastq	13-6929906_2.fastq
SRR8926244_2.fastq	13-6929795_2.fastq
SRR8926245_2.fastq	13-6929672_2.fastq
SRR8926246_2.fastq	13-6929666_2.fastq
SRR8926247_2.fastq	13-6929660_2.fastq
SRR8926248_2.fastq	13-6929658_2.fastq
SRR8926249_2.fastq	13-6929675_2.fastq
SRR8926250_2.fastq	13-6929646_2.fastq
SRR8926251_2.fastq	13-6929645_2.fastq
SRR8926252_2.fastq	13-6929642_2.fastq
SRR8926253_2.fastq	13-6929640_2.fastq
SRR8926254_2.fastq	13-6929644_2.fastq
SRR8926255_2.fastq	13-6929643_2.fastq
SRR8926256_2.fastq	13-6929634_2.fastq
SRR8926257_2.fastq	13-6929630_2.fastq
SRR8926258_2.fastq	13-6929639_2.fastq
SRR8926259_2.fastq	13-6929638_2.fastq
SRR8926260_2.fastq	13-6929894_2.fastq
